date,value
2016-05-09,2022
2016-05-10,1656
2016-05-11,2281
2016-05-12,1528
2016-05-13,1545
2016-05-14,2057
2016-05-15,2196
2016-05-16,2510
2016-05-17,1808
2016-05-18,1328
2016-05-19,1205
2016-05-20,2130
2016-05-21,1595
2016-05-22,1754
2016-05-23,2440
2016-05-24,1919
2016-05-25,1324
2016-05-26,2439
2016-05-27,1662
2016-05-28,2088
2016-05-29,2765
2016-05-30,2311
2016-05-31,1079
2016-06-01,1083
2016-06-02,1783
2016-06-03,1819
2016-06-04,2529
2016-06-05,2420
2016-06-06,1685
2016-06-07,2034
2016-06-08,2524
2016-06-09,2641
2016-06-10,1848
2016-06-11,2094
2016-06-12,1021
2016-06-13,2758
2016-06-14,2731
2016-06-15,2360
2016-06-16,2344
2016-06-17,2153
2016-06-18,2842
2016-06-19,1864
2016-06-20,1363
2016-06-21,2019
2016-06-22,1466
2016-06-23,1338
2016-06-24,1697
2016-06-25,2430
2016-06-26,2807
2016-06-27,1911
2016-06-28,2564
2016-06-29,2351
2016-06-30,2307
2016-07-01,1216
2016-07-02,1313
2016-07-03,1826
2016-07-04,1216
2016-07-05,2996
2016-07-06,1269
2016-07-07,2938
2016-07-08,1078
2016-07-09,2998
2016-07-10,2812
2016-07-11,2607
2016-07-12,2719
2016-07-13,2324
2016-07-14,1235
2016-07-15,2269
2016-07-16,2115
2016-07-17,1044
2016-07-18,2807
2016-07-19,2623
2016-07-20,2995
2016-07-21,2613
2016-07-22,1510
2016-07-23,2437
2016-07-24,2631
2016-07-25,1110
2016-07-26,2746
2016-07-27,2668
2016-07-28,1540
2016-07-29,2729
2016-07-30,1049
2016-07-31,1945
2016-08-01,1343
2016-08-02,2593
2016-08-03,2744
2016-08-04,2065
2016-08-05,2498
2016-08-06,2776
2016-08-07,2218
2016-08-08,1943
2016-08-09,1273
2016-08-10,2044
2016-08-11,1678
2016-08-12,2344
2016-08-13,2670
2016-08-14,1236
2016-08-15,1662
2016-08-16,1079
